,0,scores
146,ovarsumm_fh_age,42674.54360414091
176,ph_ovar_sqx,18412.374658413046
197,fstcan_exitstat,14814.183078059308
152,d_cancersite,14355.26930193557
153,f_cancersite,13838.102755035574
155,f_seer_death,12154.903793990967
154,d_seer_death,11947.271262517601
150,d_codeath_cat,8754.213436084992
151,f_codeath_cat,8649.941980920743
3,ovar_exitdays,8616.754603603727
180,ovar_eligible_sqx,7893.035645633115
172,ph_any_muq,7323.758299033854
175,ph_ovar_dhq,6899.324823663153
199,fstcan_exitdays,5955.608480479063
149,f_dthovar,5109.979990261546
148,d_dthovar,4801.110446782765
181,ovar_eligible_dhq,3101.7683263799445
159,mortality_exitstat,2973.073645167399
0,ovar_exitage,2923.685842102831
156,is_dead_with_cod,2844.2361794453377
157,is_dead,2844.2361794453377
198,fstcan_exitage,2223.689779303724
161,dth_days,2142.047085188941
25,ca125_result5,2090.6104186922066
162,mortality_exitdays,1994.1638007081824
171,ph_any_sqx,1794.2649355536855
23,ca125_result3,1568.9245190672323
22,ca125_result2,1481.4331378157358
19,tvu_result3,1452.5136724581257
145,breast_fh_age,1221.907003427183
18,tvu_result2,1204.0631088880002
158,mortality_exitage,1191.2870256256938
24,ca125_result4,1109.7579432110385
195,reconsent_outcome,1060.8733380479016
668,ca125ii_assess_days_study_yr_5,885.8511827341904
31,ca125_level5,819.2287126611078
43,ca125ii_level5,819.2287126611078
196,reconsent_outcome_days,797.4520288742088
21,ca125_result1,766.0580465161974
170,ph_any_dhq,716.1549572046287
41,ca125ii_level3,690.213034793133
29,ca125_level3,690.213034793133
358,tvudays_pvis3_study_yr_1,664.8822257589205
288,tvures_pvis3_study_yr_1,663.3728153974189
182,ovar_eligible_dqx,658.2844879467975
28,ca125_level2,654.6843709582935
40,ca125ii_level2,654.6843709582935
528,detr_q_study_yr_4,647.4705882352941
607,detr_q_study_yr_5,647.4705882352941
189,rndyear,560.1986562983669
13,ovar_mra_stat3,502.4688583723482
325,ovcyst_diam_study_yr_1,501.0426749194984
335,ovary_diam_study_yr_1,471.84545696064566
308,rtran_p_study_yr_1,459.6097433122842
243,ovcyst_outline_study_yr_0,439.15072620360195
17,tvu_result1,430.1481005973634
252,ovcyst_morph_study_yr_0,426.99920425828566
38,ca125ii_level0,417.40943662237964
255,ovcyst_sum_study_yr_0,410.830948893647
340,ovary_vol_study_yr_1,395.3995256892857
26,ca125_level0,392.91627356080323
323,ovcyst_diamr_study_yr_1,386.8699977116727
242,ovcyst_solid_study_yr_0,385.6172552284915
200,in_TGWAS_population,382.19206204971795
240,ovcyst_solidl_study_yr_0,372.0768139397067
194,dual,348.27451627828896
236,ca125_result_study_yr_0,340.91391150724684
328,ovcyst_vol_study_yr_1,333.267076520155
202,ca125_level_study_yr_0,324.7754220640936
401,ovcyst_outline_study_yr_2,320.78619607537314
336,ovary_diamr_study_yr_1,308.32385523351473
241,ovcyst_outlinel_study_yr_0,303.0031410281945
322,ovcyst_outline_study_yr_1,301.77021624461537
122,cig_stop,297.6537593558337
1076,echo_study_yr_1_side_L_source_TVU_VISIT_1_sbcd_1,292.7413946502005
188,center,291.1695288469977
306,rlong_p_study_yr_1,290.0693537084426
251,ovcyst_morphl_study_yr_0,288.7020586622488
736,solid_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_1,287.8546679146295
42,ca125ii_level4,286.24772569347755
30,ca125_level4,286.24772569347755
295,rvol_p_study_yr_1,282.2796658454061
338,ovary_volr_study_yr_1,281.35649715908295
231,tvu_ref_study_yr_0,281.3505596257318
1497,maxdi_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_1,281.02504967911756
339,ovary_voll_study_yr_1,273.57853916483595
294,lvol_p_study_yr_1,273.5089778190147
1231,maxdi_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_3,267.47776961352696
334,ovcyst_sum_study_yr_1,265.0933444201222
1498,volum_study_yr_2_side_R_source_TVU_VISIT_1_sbcd_1,261.48960177906713
302,ltran_p_study_yr_1,260.71898199831037
1077,maxdi_study_yr_1_side_L_source_TVU_VISIT_1_sbcd_1,256.6897856329606
246,ovcyst_diam_study_yr_0,254.24181798453668
312,phycons_study_yr_1,251.13184478751396
1638,volum_study_yr_3_side_L_source_TVU_VISIT_1_sbcd_1,245.31077091979367
738,cyst_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_1,242.73488354781915
256,ovary_diam_study_yr_0,238.14372703568122
304,rantero_p_study_yr_1,237.71489593503
254,ovcyst_suml_study_yr_0,236.52078171136614
1217,maxdi_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_2,230.615951769732
360,ca125_level_study_yr_2,228.28251792925687
1651,maxdi_study_yr_3_side_L_source_TVU_VISIT_1_sbcd_2,227.30837145593262
485,ovcyst_voll_study_yr_3,225.63570385562656
86,fchilda,222.30452506331778
739,cystw_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_1,220.1638553312766
1200,cyst_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_1,219.2862729009967
1203,maxdi_study_yr_1_side_R_source_TVU_VISIT_1_sbcd_1,217.01842192956934
327,ovcyst_voll_study_yr_1,217.01358093262164
1078,volum_study_yr_1_side_L_source_TVU_VISIT_1_sbcd_1,216.5705611833089
337,ovary_diaml_study_yr_1,214.11730380017198
1637,maxdi_study_yr_3_side_L_source_TVU_VISIT_1_sbcd_1,213.2818048424612
740,echo_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_1,209.50989227690394
318,ovcyst_outliner_study_yr_1,204.93354526100836
443,detr_p_study_yr_3,204.91097934398837
321,ovcyst_solid_study_yr_1,200.59699476891674
1074,cyst_study_yr_1_side_L_source_TVU_VISIT_1_sbcd_1,198.5299407690206
391,phycons_study_yr_2,197.32961783751077
407,ovcyst_vol_study_yr_2,196.45227859714888
750,solid_study_yr_0_side_L_source_TVU_VISIT_1_sbcd_2,195.66684855491346
500,visr_study_yr_3,193.1879948600813
439,ca125_level_study_yr_3,191.81638208140143
320,ovcyst_outlinel_study_yr_1,188.2436927409224
452,lvol_p_study_yr_3,187.29568143620037
497,ovary_voll_study_yr_3,187.02579255569665
219,lantero_p_study_yr_0,187.00099305827462
107,race7,186.85802394462576
326,ovcyst_volr_study_yr_1,182.78698401609373
324,ovcyst_diaml_study_yr_1,182.57455062589486
394,ca125_result_study_yr_2,180.52434708884616
223,ltran_p_study_yr_0,180.21892931458711
