Num of unique plco_id in Personal Data dataset: 78209
Num of records in Personal Data with cancer_0 dataset: 77596
Num of unique plco_id in Personal Data with cancer_0 dataset: 77596
Num of records in Personal Data with cancer_1 dataset: 613
Num of unique plco_id in Personal Data with cancer_1 dataset: 613


Personal Data filtered on dummy: 0 
Num of records in Personal Data filtered on dummy: 0  with cancer_0 dataset: 77596
Num of unique plco_id in Personal Data filtered on dummy: 0  with cancer_0 dataset: 77596
177 columns were over 0 missing. This is the list of columns: ['ovar_cancer', 'bq_returned', 'race7', 'is_dead_with_cod', 'is_dead', 'mortality_exitage', 'mortality_exitstat', 'mortality_exitdays', 'ph_any_trial', 'ph_ovar_trial', 'in_TGWAS_population', 'center', 'arm', 'sex', 'age', 'agelevel', 'dual', 'reconsent_outcome', 'reconsent_outcome_days', 'fstcan_exitage', 'fstcan_exitdays', 'rndyear', 'ovary_trial_flag', 'cancer', 'biopolink5', 'plco_id', 'ovar_exitdays', 'biopolink0', 'biopolink1', 'biopolink2', 'biopolink3', 'biopolink4', 'bq_compdays', 'entrydays_bq', 'ph_any_bq', 'entryage_bq', 'menstrs_stat_type', 'post_menopausal', 'bq_age', 'ph_ovar_bq', 'smoked_f', 'cig_stat', 'ovariesr_f', 'preg_f', 'ca125_history', 'usound_history', 'pelvic_history', 'cigpd_f', 'hyster_f', 'livec', 'horm_stat', 'horm_f', 'mammo_history', 'bcontr_f', 'marital', 'papsmear_history', 'pregc', 'educat', 'fmenstr', 'bcontrt', 'asp', 'miscar', 'fh_cancer', 'tuballig', 'asppd', 'tubal', 'trypreg', 'bq_adminm', 'occupat', 'curhorm', 'hyperten_f', 'emphys_f', 'stroke_f', 'diabetes_f', 'height_f', 'ibup', 'breast_fh_cnt', 'ovarsumm_fh_cnt', 'breast_fh', 'ovarsumm_fh', 'hearta_f', 'bronchit_f', 'arthrit_f', 'stillb', 'liver_comorbidity', 'gallblad_f', 'polyps_f', 'divertic_f', 'ibuppd', 'lmenstr', 'thorm', 'cig_years', 'osteopor_f', 'pack_years', 'brothers', 'weight50_f', 'colon_comorbidity', 'weight_f', 'sisters', 'bmi_50', 'bmi_50c', 'weight20_f', 'bmi_curc', 'bmi_curr', 'pipe', 'cigar', 'bmi_20c', 'bmi_20', 'menstrs', 'hispanic_f', 'bbd', 'uterine_fib', 'benign_ovcyst', 'endometriosis', 'prega', 'fchilda', 'ph_any_dhq', 'entrydays_dhq', 'entryage_dhq', 'ph_any_sqx', 'entrydays_sqx', 'entryage_sqx', 'bcontra', 'tvu_result1', 'tvu_result0', 'tvu_result2', 'ca125_result4', 'tvu_result3', 'ca125_result0', 'ca125_result2', 'ca125_result3', 'ca125_result1', 'ca125_result5', 'ca125_prot', 'rsmoker_f', 'filtered_f', 'smokea_f', 'cig_stop', 'ph_ovar_dqx', 'ph_any_dqx', 'entrydays_dqx', 'entryage_dqx', 'ph_any_muq', 'entryage_muq', 'ca125_days0', 'ca125_src0', 'ca125_level0', 'ca125ii_level0', 'tvu_days0', 'ca125_days1', 'hystera', 'ca125_level1', 'ca125ii_level1', 'tvu_days1', 'ca125_days2', 'ca125_level2', 'ca125_src2', 'ca125ii_level2', 'tvu_days2', 'ssmokea_f', 'ca125_days3', 'ca125_src3', 'ca125_level3', 'ca125ii_level3', 'tvu_days3', 'ca125_days5', 'ca125ii_level5', 'ca125_src5', 'ca125_level5', 'ca125_days4', 'ca125ii_level4', 'ca125_src4', 'ca125_level4', 'breast_fh_age', 'orem_fyro', 'ovarsumm_fh_age', 'ovar_cancer_diagdays']
The table of features missing over 0 percentage: 
+------------------------+------------------------+---------------+---------------+-------------------+
|                        | column_name            |   num_missing |   num_present |   percent_missing |
|------------------------+------------------------+---------------+---------------+-------------------|
| ovar_cancer            | ovar_cancer            |             0 |         77596 |           0       |
| bq_returned            | bq_returned            |             0 |         77596 |           0       |
| race7                  | race7                  |             0 |         77596 |           0       |
| is_dead_with_cod       | is_dead_with_cod       |             0 |         77596 |           0       |
| is_dead                | is_dead                |             0 |         77596 |           0       |
| mortality_exitage      | mortality_exitage      |             0 |         77596 |           0       |
| mortality_exitstat     | mortality_exitstat     |             0 |         77596 |           0       |
| mortality_exitdays     | mortality_exitdays     |             0 |         77596 |           0       |
| ph_any_trial           | ph_any_trial           |             0 |         77596 |           0       |
| ph_ovar_trial          | ph_ovar_trial          |             0 |         77596 |           0       |
| in_TGWAS_population    | in_TGWAS_population    |             0 |         77596 |           0       |
| center                 | center                 |             0 |         77596 |           0       |
| arm                    | arm                    |             0 |         77596 |           0       |
| sex                    | sex                    |             0 |         77596 |           0       |
| age                    | age                    |             0 |         77596 |           0       |
| agelevel               | agelevel               |             0 |         77596 |           0       |
| dual                   | dual                   |             0 |         77596 |           0       |
| reconsent_outcome      | reconsent_outcome      |             0 |         77596 |           0       |
| reconsent_outcome_days | reconsent_outcome_days |             0 |         77596 |           0       |
| fstcan_exitage         | fstcan_exitage         |             0 |         77596 |           0       |
| fstcan_exitdays        | fstcan_exitdays        |             0 |         77596 |           0       |
| rndyear                | rndyear                |             0 |         77596 |           0       |
| ovary_trial_flag       | ovary_trial_flag       |             0 |         77596 |           0       |
| cancer                 | cancer                 |             0 |         77596 |           0       |
| biopolink5             | biopolink5             |             0 |         77596 |           0       |
| plco_id                | plco_id                |             0 |         77596 |           0       |
| ovar_exitdays          | ovar_exitdays          |             0 |         77596 |           0       |
| biopolink0             | biopolink0             |             0 |         77596 |           0       |
| biopolink1             | biopolink1             |             0 |         77596 |           0       |
| biopolink2             | biopolink2             |             0 |         77596 |           0       |
| biopolink3             | biopolink3             |             0 |         77596 |           0       |
| biopolink4             | biopolink4             |             0 |         77596 |           0       |
| bq_compdays            | bq_compdays            |          2078 |         75518 |           2.67797 |
| entrydays_bq           | entrydays_bq           |          2078 |         75518 |           2.67797 |
| ph_any_bq              | ph_any_bq              |          2078 |         75518 |           2.67797 |
| entryage_bq            | entryage_bq            |          2078 |         75518 |           2.67797 |
| menstrs_stat_type      | menstrs_stat_type      |          2078 |         75518 |           2.67797 |
| post_menopausal        | post_menopausal        |          2078 |         75518 |           2.67797 |
| bq_age                 | bq_age                 |          2078 |         75518 |           2.67797 |
| ph_ovar_bq             | ph_ovar_bq             |          2078 |         75518 |           2.67797 |
| smoked_f               | smoked_f               |          2086 |         75510 |           2.68828 |
| cig_stat               | cig_stat               |          2087 |         75509 |           2.68957 |
| ovariesr_f             | ovariesr_f             |          2098 |         75498 |           2.70375 |
| preg_f                 | preg_f                 |          2099 |         75497 |           2.70504 |
| ca125_history          | ca125_history          |          2099 |         75497 |           2.70504 |
| usound_history         | usound_history         |          2101 |         75495 |           2.70761 |
| pelvic_history         | pelvic_history         |          2104 |         75492 |           2.71148 |
| cigpd_f                | cigpd_f                |          2173 |         75423 |           2.8004  |
| hyster_f               | hyster_f               |          2191 |         75405 |           2.8236  |
| livec                  | livec                  |          2200 |         75396 |           2.8352  |
| horm_stat              | horm_stat              |          2206 |         75390 |           2.84293 |
| horm_f                 | horm_f                 |          2206 |         75390 |           2.84293 |
| mammo_history          | mammo_history          |          2209 |         75387 |           2.8468  |
| bcontr_f               | bcontr_f               |          2211 |         75385 |           2.84937 |
| marital                | marital                |          2248 |         75348 |           2.89706 |
| papsmear_history       | papsmear_history       |          2249 |         75347 |           2.89835 |
